id,course_code,course_name,semester,academic_year,status,created_at,updated_at
205,5020462,יסודות מבני נתונים,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
206,5000521,ניתוח ועיצוב מערכות מידע 1,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
207,0500002,יזמות עסקית,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
208,5010241,קבלת החלטות,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
209,5060666,תורת המשחקים,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
210,5000542,שיטות סימולציה,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
211,5000041,תכנון פיקוח ייצור 2,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
212,5010132,חלקי מכונות,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
213,5050114,מערכות יצור ממוחשבות CIM,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
214,5010331,הנדסת בטיחות,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
215,5010163,מערכות שינוע ותכנון,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
216,5000072,יישום מערכות מידע בתעשיה,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
217,5020231,מנשק אדם מחשב,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
218,5000522,ניתוח ועיצוב מערכות מידע 2,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
219,5020271,אחזור וסינון מידע,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
220,5054369,בינה עסקית,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
221,5090002,ניהול פרויקטי תוכנה,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
222,5090003,ניהול פרויקטים בתעשייה,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
223,5000512,רובוטיקה ואוטומציה,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
224,5020161,כריית נתונים,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
225,5020432,תקשורת מחשבים,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
226,1001041,מבוא למחשב בניהול הבנייה,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
227,5090006,שימוש בתוכנות לניהול פרויקטים,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
228,EE-SWTOOLS,כלי תוכנה,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
229,EE-MATHA,מתמטיקה הנדסית א,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
230,EE203,מבוא להנדסת חשמל 2,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
231,EE-VECTOR,אנליזה וקטורית,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
232,EE-SEMI,התקני מוליכים למחצה,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
233,EE-COMPLEX,פונקציות מרוכבות,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
234,EE-ELECIRC,מעגלים אלקטרוניים,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
235,EE-RANDSIG,מבוא לאותות אקראיים,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
236,EE-WAVES,גלים וקווי תמסורת,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
237,EE-ADVEC,מעגלים אלקטרוניים מתקדמים,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
238,EE-DIGEC,מעגלים אלקטרוניים ספרתיים,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
239,EE-ENERGY,המרת אנרגיה,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
240,EE-POWER1,מערכות הספק 1,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
241,EE-IND-ELEC,אלקטרוניקה תעשייתית,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
242,EE-MICROWAVE,מבוא למיקרוגלים ואנטנות,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
243,EE-POWER2,מערכות הספק 2,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
244,EE-HVLV,טכנולוגיות מתח גבוה ונמוך,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
245,EE-PROJ-A,פרויקט,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
246,EE-DRIVES,הינע חשמלי,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
247,EE-SAFETYLAW,בטיחות וחוקי חשמל,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
